+0.0000000000	+1.6500000000
+0.0000100000	+1.7441857793
+0.0000100000	+1.8379998503
+0.0000100000	+1.9310719719
+0.0000100000	+2.0230348307
+0.0000100000	+2.1135254916
+0.0000100000	+2.2021868290
+0.0000100000	+2.2886689373
+0.0000100000	+2.3726305112
+0.0000100000	+2.4537401925
+0.0000100000	+2.5316778784
+0.0000100000	+2.6061359846
+0.0000100000	+2.6768206589
+0.0000100000	+2.7434529411
+0.0000100000	+2.8057698642
+0.0000100000	+2.8635254916
+0.0000100000	+2.9164918883
+0.0000100000	+2.9644600201
+0.0000100000	+3.0072405787
+0.0000100000	+3.0446647288
+0.0000100000	+3.0765847744
+0.0000100000	+3.1028747417
+0.0000100000	+3.1234308761
+0.0000100000	+3.1381720520
+0.0000100000	+3.1470400926
+0.0000100000	+3.1500000000
+0.0000100000	+3.1470400926
+0.0000100000	+3.1381720520
+0.0000100000	+3.1234308761
+0.0000100000	+3.1028747417
+0.0000100000	+3.0765847744
+0.0000100000	+3.0446647288
+0.0000100000	+3.0072405787
+0.0000100000	+2.9644600201
+0.0000100000	+2.9164918883
+0.0000100000	+2.8635254916
+0.0000100000	+2.8057698642
+0.0000100000	+2.7434529411
+0.0000100000	+2.6768206589
+0.0000100000	+2.6061359846
+0.0000100000	+2.5316778784
+0.0000100000	+2.4537401925
+0.0000100000	+2.3726305112
+0.0000100000	+2.2886689373
+0.0000100000	+2.2021868290
+0.0000100000	+2.1135254916
+0.0000100000	+2.0230348307
+0.0000100000	+1.9310719719
+0.0000100000	+1.8379998503
+0.0000100000	+1.7441857793
+0.0000100000	+1.6500000000
+0.0000100000	+1.5558142207
+0.0000100000	+1.4620001497
+0.0000100000	+1.3689280281
+0.0000100000	+1.2769651693
+0.0000100000	+1.1864745084
+0.0000100000	+1.0978131710
+0.0000100000	+1.0113310627
+0.0000100000	+0.9273694888
+0.0000100000	+0.8462598075
+0.0000100000	+0.7683221216
+0.0000100000	+0.6938640154
+0.0000100000	+0.6231793411
+0.0000100000	+0.5565470589
+0.0000100000	+0.4942301358
+0.0000100000	+0.4364745084
+0.0000100000	+0.3835081117
+0.0000100000	+0.3355399799
+0.0000100000	+0.2927594213
+0.0000100000	+0.2553352712
+0.0000100000	+0.2234152256
+0.0000100000	+0.1971252583
+0.0000100000	+0.1765691239
+0.0000100000	+0.1618279480
+0.0000100000	+0.1529599074
+0.0000100000	+0.1500000000
+0.0000100000	+0.1529599074
+0.0000100000	+0.1618279480
+0.0000100000	+0.1765691239
+0.0000100000	+0.1971252583
+0.0000100000	+0.2234152256
+0.0000100000	+0.2553352712
+0.0000100000	+0.2927594213
+0.0000100000	+0.3355399799
+0.0000100000	+0.3835081117
+0.0000100000	+0.4364745084
+0.0000100000	+0.4942301358
+0.0000100000	+0.5565470589
+0.0000100000	+0.6231793411
+0.0000100000	+0.6938640154
+0.0000100000	+0.7683221216
+0.0000100000	+0.8462598075
+0.0000100000	+0.9273694888
+0.0000100000	+1.0113310627
+0.0000100000	+1.0978131710
+0.0000100000	+1.1864745084
+0.0000100000	+1.2769651693
+0.0000100000	+1.3689280281
+0.0000100000	+1.4620001497
+0.0000100000	+1.5558142207
